participant_number,condition,order,test_date,response_id,response__uuid,gender,lan_spoken,age_range,rounded_age,age,bag,shoe,clock,phone,drum,spider,tree,snail,include,notes,
1,label_only,1,13-Jul,143876,5dbb13fb-4540-4c8b-97d5-bc022fd917ba,female,en,1095 - 1460,1440,3.95,1,1,1,1,1,0,0,0,1,,
2,label_only,1,13-Jul,143881,ab68fac0-a880-4385-a193-5fcc2874b0a8,male,en,1095 - 1460,1350,3.7,1,1,1,0,0,0,0,1,1,,0=shape alternative
3,label_only,1,14-Jul,143906,e0a375af-7299-4496-b7b1-0e093cb0eded,female,en,1095 - 1460,1380,3.78,0,1,0,0,0,0,1,0,1,,1=non-shape alternative
4,label_only,1,14-Jul,143920,9b34bd60-1271-4890-9527-edb270988629,male,en es,1095 - 1460,1380,3.78,1,1,1,0,1,1,1,1,1,,
5,label_only,1,15-Jul,144009,8c2c8ca5-85db-4a36-8a32-3543b3140322,male,en,1095 - 1460,1320,3.62,1,1,1,0,1,0,1,1,1,,
6,label_only,1,15-Jul,144015,b1dd4333-c280-47e8-9d75-fe8143c84c37,male,en,1095 - 1460,1230,3.37,1,0,1,0,1,1,0,0,1,,
7,label_only,1,15-Jul,144020,8db1dd6e-e640-4282-a532-dc18c5024416,female,en,1095 - 1460,1380,3.78,1,0,0,1,0,0,0,1,1,,
8,label_only,1,15-Jul,144037,40724db3-8b65-47a1-abae-6a902ec84b4c,male,en,1095 - 1460,1230,3.37,1,1,0,0,1,1,0,0,1,,
9,label_only,1,15-Jul,144056,6f959425-96d0-4eeb-947f-375c363e7036,female,en,1095 - 1460,1320,3.62,1,1,1,1,1,0,1,0,1,,
10,label_only,1,15-Jul,144093,539feaf0-13f6-43a9-a460-27acec6ae641,female,en,1095 - 1460,1410,3.86,1,1,1,0,0,0,1,0,1,,
11,label_only,1,13-Jul,143877,5228ea78-ccc8-437a-8a0b-8a5e6464243d,male,en,1461 - 1826,1800,4.93,0,1,0,1,1,0,0,1,1,,
12,label_only,1,14-Jul,143908,df57008b-8c49-4dd1-a140-37bdd224da81,female,en,1461 - 1826,1560,4.27,0,1,0,1,1,0,0,0,1,,
13,label_only,1,15-Jul,144000,a4f3a3d7-f7db-4f49-961b-bafcf2afd6d4,male,en,1461 - 1826,1740,4.77,1,1,1,1,1,1,0,1,1,,
14,label_only,1,15-Jul,144005,253f3200-e2f4-455c-bae3-2d0fc8290d93,male,en,1461 - 1826,1680,4.6,1,1,1,0,1,1,0,0,1,,
15,label_only,1,15-Jul,144068,014b4708-2c0e-4164-8d87-d9c7a7afc027,female,en,1461 - 1826,1470,4.03,0,1,0,1,1,0,0,0,1,,
16,label_only,1,15-Jul,144085,e6f12f81-22d6-4e68-be77-659b826883ad,female,en,1461 - 1826,1710,4.68,0,0,0,0,0,0,1,0,1,,
17,label_only,1,15-Jul,144088,09fcfc60-be3e-44eb-9562-f98f70522f3c,male,en,1461 - 1826,1710,4.68,0,0,0,0,0,0,0,0,1,,
18,label_only,1,15-Jul,144089,be40cfb6-2e61-4d72-90a1-6b3ac9c0bfa5,female,en,1461 - 1826,1530,4.19,1,1,1,0,1,0,0,1,1,,
19,label_only,1,17-Jul,144320,c8e31873-d558-4896-97e8-4b6558eeed4e,female,en,1461 - 1826,1650,4.52,1,1,0,0,0,0,1,0,1,,
20,label_only,1,18-Jul,144554,158bec4d-9dbb-4388-860c-2a35a63411be,female,en,1461 - 1826,1530,4.19,1,0,0,0,0,0,0,0,1,,
21,label_only,2,20-Jul,144932,450843d8-0c4e-4d70-9f19-cb5b8e1d9fa5,male,en km wuu,1095 - 1460,1320,3.62,0,1,1,0,0,0,0,0,1,,
22,label_only,2,20-Jul,144956,7aae3b33-e167-4b3c-9402-44cef93a2203,male,en cmn,1095 - 1460,1380,3.78,1,1,1,0,1,0,0,0,1,,
23,label_only,2,20-Jul,144957,8ca513ff-1c8b-4d07-a2e2-9487d49d6de3,male,en,1095 - 1460,1260,3.45,1,0,1,0,1,0,0,0,1,,
24,label_only,2,20-Jul,144964,9be26b96-7a0f-4668-960c-6f5ff9d6c843,female,en,1095 - 1460,1260,3.45,1,0,0,0,1,1,0,0,1,,
25,label_only,2,20-Jul,145018,c9ed4d16-3381-47a8-91ae-db726498ee46,female,en,1095 - 1460,1230,3.37,0,1,1,0,0,1,1,1,1,,
26,label_only,2,20-Jul,145127,3d6da0c9-a9c0-4195-9155-c3731472f09b,female,en so,1095 - 1460,1260,3.45,0,1,0,1,1,0,0,1,1,,
27,label_only,2,20-Jul,145169,d692545a-fa99-4fea-b2a9-dfbe57de0748,male,en cmn,1095 - 1460,1170,3.21,0,0,0,0,0,0,0,0,1,,
28,label_only,2,21-Jul,145197,8f0b7840-d229-4711-bca1-8335d7ff6f83,male,en es,1095 - 1460,1350,3.7,0,1,0,0,1,1,1,0,1,,
29,label_only,2,22-Jul,145339,a4de274f-49c8-411e-b0a9-053d874e1e56,female,en,1095 - 1460,1350,3.7,1,1,0,0,1,0,1,0,1,,
30,label_only,2,22-Jul,145366,71971e62-ee92-4006-8125-359eab7dfde0,female,en ro,1095 - 1460,1110,3.04,1,0,0,1,1,0,1,0,1,,
31,label_only,2,20-Jul,144940,3a0b3da6-aed9-4fd9-a9ad-5ba2229898af,female,en,1461 - 1826,1620,4.44,1,1,1,1,1,0,0,1,1,,
32,label_only,2,20-Jul,145153,a760d5e0-2a26-40fa-b026-3fbda6c00baa,female,en,1461 - 1826,1500,4.11,1,1,1,1,1,0,1,0,1,,
33,label_only,2,20-Jul,145167,9b8f5b9b-61e9-4f02-8932-ebc808de2a98,female,en,1461 - 1826,1740,4.77,1,1,1,0,0,0,0,0,1,,
34,label_only,2,21-Jul,145231,9c02784c-38bf-4f66-ace2-e3bd4df340e9,female,en es,1461 - 1826,1530,4.19,1,0,1,1,1,0,0,0,1,,
35,label_only,2,21-Jul,145246,18a1a05e-0a08-4ce0-9ee1-fc2b95e20262,male,en,1461 - 1826,1500,4.11,1,1,0,1,1,0,0,0,1,,
36,label_only,2,21-Jul,145271,df1aebe7-2d50-48db-b99e-17b2926f06e7,female,en es,1461 - 1826,1620,4.44,0,1,0,0,0,1,0,1,1,,
37,label_only,2,23-Jul,145446,16f3738c-6079-44db-aafb-47f2bb6d47b9,male,en,1461 - 1826,1770,4.85,0,0,1,0,0,0,0,0,1,,
38,label_only,2,24-Jul,145528,ca3f11dc-e157-45cf-bf96-2e0d65bc5916,male,en so,1461 - 1826,1740,4.77,1,1,1,1,1,1,0,1,1,,
39,label_only,2,24-Jul,145579,67126a2e-6a44-4397-a49f-611d97c91f0f,female,en egy fr,1461 - 1826,1590,4.36,1,1,1,0,0,0,0,0,1,,
40,label_only,2,24-Jul,145595,421fd2cf-0fc0-4be6-b200-d3c864b6c35f,female,en fr,1461 - 1826,1680,4.6,1,1,1,1,0,1,0,0,1,,
41,label_only,3,29-Jul,146563,d1debe9e-ef76-4f92-a5ca-426277889395,female,en ko,1095 - 1460,1170,3.21,0,0,0,0,0,0,0,1,1,,
42,label_only,3,29-Jul,146602,a664eb71-079f-4b78-bc6e-a32d5b59f2b8,male,wuu,1095 - 1460,1350,3.7,0,0,0,1,0,1,0,0,1,,
43,label_only,3,29-Jul,146609,927bac33-6a05-4ef3-bc90-5d13059d56d8,female,en,1095 - 1460,1230,3.37,0,1,0,0,1,0,0,0,1,,
44,label_only,3,29-Jul,146635,47603241-bdae-4113-8cc7-7cd57ff83c2f,female,en ml so,1095 - 1460,1410,3.86,1,1,1,0,0,1,0,1,1,,
45,label_only,3,29-Jul,146678,d8d9ccdb-8fac-48e3-be11-0a8fc3f24c91,male,en,1095 - 1460,1440,3.95,1,1,1,0,0,0,0,1,1,,
46,label_only,3,30-Jul,146779,445d881d-3f21-468a-887b-310e1bad6cbe,male,en,1095 - 1460,1260,3.45,1,1,0,0,0,1,0,0,1,,
47,label_only,3,30-Jul,146788,87f4f942-c76b-4eff-b031-9bd31bdd6415,female,en,1095 - 1460,1200,3.29,1,0,0,0,1,0,1,0,1,,
48,label_only,3,31-Jul,146861,f96cda61-612c-44e3-b600-2062c4b0b442,male,en,1095 - 1460,1230,3.37,0,1,1,0,0,1,1,1,1,,
49,label_only,3,31-Jul,146969,1356525b-bf3c-4c7f-bbcc-fdf5edb2f08a,female,en,1095 - 1460,1410,3.86,1,1,0,0,1,0,0,0,1,,
50,label_only,3,31-Jul,146973,da0baf87-35fa-4153-a2d7-7ed2fd6d9ca7,male,en,1095 - 1460,1140,3.12,1,1,0,1,1,0,0,1,1,,
51,label_only,3,29-Jul,146627,7146ec85-b145-4be6-a2d8-46af9990350c,male,en,1461 - 1826,1770,4.85,1,1,1,1,0,0,0,0,1,,
52,label_only,3,29-Jul,146612,c28ac6a3-2076-4b3e-95b3-b71a825ad3b2,male,en,1461 - 1826,1590,4.36,1,1,0,0,1,0,1,0,1,,
53,label_only,3,30-Jul,146758,a46d3db8-fa4a-496d-a242-3fe385497cdd,female,en,1461 - 1826,1680,4.6,1,1,1,1,0,1,1,1,1,,
54,label_only,3,30-Jul,146769,49413f1f-8cbe-4621-9fb6-171ed1ac3b97,male,en,1461 - 1826,1560,4.27,1,0,0,1,0,1,0,1,1,,
55,label_only,3,31-Jul,146939,ec2947f6-7719-4d4f-bac9-051c40eec657,female,en pl so,1461 - 1826,1770,4.85,1,1,1,0,0,0,0,1,1,,
56,label_only,3,31-Jul,146945,5f58ee8c-6444-467a-8a4b-3da15d5137e7,male,en,1461 - 1826,1800,4.93,1,1,1,1,1,0,0,1,1,,
57,label_only,3,31-Jul,146948,23e2de41-3851-43e6-9d90-112c405b38c7,male,en or,1461 - 1826,1470,4.03,0,0,0,0,0,0,1,0,1,,
58,label_only,3,31-Jul,146970,0f60e2dc-2b23-4acf-9da9-82ad8ac77bd1,female,en,1461 - 1826,1710,4.68,1,1,1,0,0,1,0,1,1,,
59,label_only,3,2-Aug,147293,70741cc2-7c85-49ca-b1e1-cce6d3f32bb5,female,en,1461 - 1826,1590,4.36,0,1,1,0,0,1,1,0,1,,
60,label_only,3,3-Aug,147494,b9495ca0-ca78-4d3b-84e5-9730e7a64169,female,en fr,1461 - 1826,1740,4.77,0,1,0,0,1,0,0,0,1,,
61,purpose,1,4-Aug,147600,1257cf78-4755-4d2b-8b4b-6f83abdd29b6,male,en,1095 - 1460,1230,3.37,1,0,1,0,0,1,1,1,1,,
62,purpose,1,4-Aug,147695,92137f47-15c0-44f6-8095-f8a9fc31c982,male,en,1095 - 1460,1260,3.45,1,0,1,0,1,1,0,1,1,,
