testing_platform,participant,file_name,test_date,age_range,age_days,age,parent_id,sink,toilet,bunny ,dog,birdfeeder,coffeepot,bee,spider,chicken,pig,plate,clock,cow,bear ,umbrella,lamp,skunk,lion,beaver,mosquito,woodpecker,vulture,dolphin,monkey,giraffe,squirrel,frog,snake,chair,table,toybox,crib,cup,toothbrush,comb,spoon,shovel,flowerpot,towel,shirt,gender,native_english,race,consent_level,completed_all_trials,include,notes
zoom,1,participant1_07022023_Zoom_1_JL,7/2/23,1461-1826,,4.9,,wash dishes,go potty,take care of them,babysit them,feed birds,to make coffee,to sting you,to take over everyone's house,to play with them at the farm,to pet them at the farm,to eat dinner on them,to be a timer,to pet them at the farm,to pet them,to hold it above you,use it when its dark outside,to pet them,to pet them,to pet them,to sting you,to peck their food,to fly around birds,to swim in the ocean,to be at the zoo,to pet them at the zoo,to pet them,to pet them at the ocean,to pet them,to sit on,to eat dinner on it,to put toys in them,babies sleep in them,to use it for hot chocolate,to brush your teeth when its bedtime and morning,to brush your hair,to eat lunch and use it,to shovel the snow on the street,to put flowers in,to use it after shower,to wear it,female,1,white,2,1,1,researcher said t-shirt instead of shirt
zoom,2,participant2_07022023_Zoom_2_JL,7/2/23,2191-2556,,6.57,,to wash hands,to go to the bathroom,to be a pet,to be a pet,for birds to sit on,for coffee,for nature,idk,for food and to lay eggs,to snort,for food,for time,for milk,for hunting,for protection,for light,for smelliness,for animals,for chewing trees or wood,for sucking blood,for pecking wood,for flying,for swimming,for eating bananas,for being at the zoo,for running around and eating pumpkins on halloween,for leaping off of lilypads,for guarding house from mice,for sitting down,for putting stuff on it,for toys because it says it in its name,for keeping babies in one place,for drinking,for brushing teeth,for combing hair,for eating breakfast,for digging,for planting,for drying your body,for not being naked,male,1,white,1,1,1,there was 'idk' for spiders
zoom,3,participant3_07022023_Zoom_3_JL,7/2/23,2191-2556,,6.65,,to wash hands or dishes,to do number 1 and 2 ,for being pets,for being pets,to birds eat from,to make coffee,for honey,for catching flies,for eggs,for being a type of pet,to eat ,to see the time,to be pets and give milk; chose milk,for grabbing honey,to keep from soaking wet,to see,for nothing,for roaring at you,for looking at them because they are cute,to drink your blood,for pecking wood,for nothing ,for ride on backs,to eat bananas,to eat the leaves so that the tree does not fall from being too heavy,for eating nuts,for eating flies like spiders,to poison bad animals; to hiss around the world for al,to sit on,to hold things up,to put toys in them,for babies to sleep,to drink out of,to brush your teeth,to brush your hair,for eating,for digging,for put a seed and it grows into a flower,for wipe wet body parts,to wear,female,0,white,1,1,1,had issues with setting up on zoom
zoom,4,participant4_09022023_Zoom_1_JL,9/2/23,2191-2556,,6.74,,wash dishes and hands,to poop and pee,for eating lots of carrots,for being pets,for feeding birds,for putting coffee inside,for stinging you when you bother them,for making webs so bugs get on them and they can eat them,for laying eggs so you can eat them,for giving meat,for putting meals on it,for telling time,for getting milk,for getting very good pictures,for keeping the rain from body,for there to read a book,for making bad smells,for hearing big roars,for making dams and making sure water is running good,for sting people when they bother them,for getting sap because they can peck where the sap is,for hearing them say 'craw',for scaring other animals into thinking theyre sharks,for being like kids because theyre crazy and silly,for eating poisonous leaves because they have colored tongues,for eating acorns,for hearing them say ribbit and for jumping lilypads,for scaring other people so they don't get chopped up,for sitting down to eat or read a book,for doing things on like puzzles and eating,for putting toys inside of them,for putting babies when they need naps,for drinking out of,to brush teeth,for brushing hair,for eating stew or cereal,for digging up holes,for making flowers,for drying yourself,for not being naked when you go to school,female,1,white,2,1,1,
zoom,5,participant5_09022023_Zoom_2_JL,9/2/23,2191-2556,,6.19,,washing dishs and hands,for sitting ,for eating carrots,for touching,for being food for birds,for using it for water,for making honey,for crawling ,for laying eggs ,for living in the mud,for eating foods,for telling time,for getting milk,for eating honey,for opening when it starts to rain,for making electricity,for being disgusting,for making roars,for being an animal,for biting you when they come into the house,,,,,,,,,,,,,,,,,,,,,male,1,asian,2,0,0,
zoom,6,participant7_13022023_Zoom_2_JL,13/02/2023,1826-2191,,5.25,,wash dishes,going to the bathroom,for hopping,for ruffing,for feeding birds,for making coffee,for honey,"for biting, eating, and stinging people",for clucking,for snorting,for eating on,for telling time,for milking,for eating people,for not getting rain on you,for turning on light,for smelling,for roaring,for beaving at wood,for sucking blood from people,for pecking wood,idk,for jumping in and out of water,for making monkey noises,for eating leaves,for climbing up trees,for jumping,for hissing,for sitting,for putting things on,for toys,for babies,for milk juice and tea,for brushing teeth,for brushing hair,for scooping ,for digging at the beach,for flowers,for dying off,for wearing,male,1,white,2,1,1,a phone call interrupted during trial
zoom,7,participant8_14022023_Zoom_1_JL,14/02/2023,2191-2556,,6.25,,cleaning hands,going pee and poo,for pet,for pet,for feeding birds,for making coffee,for honey,for crawling around,for walking around,for walking around,for holding food,for telling time,for milk,for walking around,for keeping off rain,for light,for walking around,for walking around,for walking around,for biting some people's skin,for pecking wood,for walking around,for leaping in and out of water,for swinging branches,for walking around,for climbing up trees and going in holes,for jumping,for sleethering,for sitting,for holding plates and cups,for cleaning toys,for babies,for holding liquids,for brushing teeth,for brushing people's hair,for scooping ,for digging weeds,for flowers,for dying off hands,for wearing,male,1,asian,1,1,1,researcher accidently went to next trial while child was responding
zoom,8,participant9_14022023_Zoom_2_JL,14/02/2023,2191-2556,,6.08,,for washing and washing hands,going pee and poo,for being pets,for being pets,for feeding birds,for making coffee,for making honey,for making webs,for laying eggs,for splashing in mud,for holding food,for telling time,for making milk,for climbing trees,for blocking the rain,for turning on light,for making stinky smells,for defenses,for building dams,for making bites on you,for chopping wood,for flying,for making splashes,for swinging on trees,for picking apples,for getting acorns,for jumping lilypads,for making rattle sounds,,,,,,,,,,,,,female,1,"asian, white",2,0,0,child didn't want to participate 3/4 through
zoom,9,participant10_15022023_Zoom_1_JL,15/02/2023,1461-1826,,4.46,,for wash hands,going pee and poo,for hopping,for ruffing,for storing food for birds to eat,for boiling water,to fly,to make webs,for making eggs,for honking,for holding food,for checking time,for milk,for crawl,for stopping the rain,for light,for making stinky smells,for roaring,to lay things around,for biting,for pecking wood,to look,for being at dolphin shows,to hang around,for having long necks,for eating nuts,for jumping in the sea,to walk around slow,for sitting on,for eating and holding on,for storing toys so they dont get lost,for babies to sleep,for drinking,for brushing teeth,for brushing hair,for eating food,for digging,for making plants,for dying hands,for wearing to not be cold,N/A,1,N/A,1,1,1,
zoom,10,participant11_21022023_Zoom_1_JL,21/02/2023,2191-2556,,6.16,,for washing hands and dishes,going pee and poo,"for hopping, eating carrots","for walking, running, playing, and barking alot",for giving food to birds so they acn fly,holds coffee,"sting, flying, and make honey",for climbing and putting on trees and giving bites,for laying eggs,for rolling and making oinks,for eating,for telling time,for making milk and going mo,for having muscle and running fast,for keeping dry from rain,for keeping things light when its dark,for making yucky stuff out of their butts when they're scared,for roaring ,for making dams and eating tree bark,for stinging ,for pecking trees and getting bugs with their long pointed beak,for flying,jumping in and out of water,for swinging and do crazy things,for having long necks to get food,for climbing and getting things that are stuck in trees from them ,for jumping on lilypads,for sleethering and biting with venom,for sitting on and using musical chairs,for eating and chatting with peopl,for storing toys,for holding babies,for drinking,for brushing things,for combing hair,for scooping,for digging,for planting,for dying off,for wearing,male,1,white,2,1,1,"child said it wasn't a plate, but a dish and continued using dish. gave rich responses, but it was hard to decipher what information they thought the entity was for"
