testing_platform,participant,response_id,file_name,test_date,age_range,age_days,age,gender,language,make_honey,build_dams,hop,lay_eggs,make_milk,jump_in_water,roar,swing_from_trees,bite_people,smell_stinky,make_webs,eat_nuts,peck_wood,jump,feed_birds,tell_time,hold_coffee,brush_hair,babies_to_sleep_in,drink,grow_flowers,provide_light,eat_on,wash_hands,go_to_bathroom,brush_teeth,put_toys_in,protect_us_from_rain,Notes,Parent notes,
lookit,1,132802,The_Curious_Maggie_20230426_02,4/26/23,1461-1826,1470,4.03,female,en,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,participant said 'yeah' for most items,,correct = 1
lookit,2,132896,The_Curious_Maggie_20230427_03,4/27/23,1461-1826,1560,4.27,female,en,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,participant was hard to hear for beaver; participant said mug for coffeepot_flowerpot and bucket for birdfeeder_flowerpot,,incorrect = 0
lookit,3,132909,The_Curious_Maggie_20230427_05,4/27/23,1461-1826,1590,4.36,female,en,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"participant said 'no' for bee_spider, but had perfect score on the rest",,
lookit,4,132916,The_Curious_Maggie_20230427_06,4/27/23,1461-1826,1470,4.03,male,en,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,,1,1,0,0,1,1,,0,1,1,,1,participant skipped some trials and laughed at giving 'toilet' in response to sink_toilet; the child got fussy towards the end,Study is a bit too long for a 4-year-old.,
lookit,5,132936,The_Curious_Maggie_20230427_08,4/27/23,1461-1826,1500,4.11,female,en,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,,,
lookit,6,132966,The_Curious_Maggie_20230428_01,4/28/23,1461-1826,1470,4.03,female,en,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,It would have been helpful if there was a replay button of some sort. Sometimes my daughter was distracted during the question part of the recording and didn't hear the inquiry.,
lookit,7,133000,The_Curious_Maggie_20230428_03,4/28/23,1461-1826,1530,4.19,female,en,1,,,1,,1,1,,,,,,1,,,1,,1,,,,1,,,1,1,,,"participant said yes or no to items, thus no response. participant said i don't know for cup_flowerpot","not sure what was being studied, but the way the question was posed with the ""or"", logically you can answer yes to each question and it's correct when showing the 2 items.",
lookit,8,133039,The_Curious_Maggie_20230428_04,4/28/23,1461-1826,1470,4.03,male,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"it was hard to decipher child's responses, they also said 'yeah' or parent responded for them across trials. child and parent were unresponsive most trials ",,
lookit,9,133167,The_Curious_Maggie_20230429_01,4/29/23,1461-1826,1770,4.85,male,en,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
lookit,10,133189,The_Curious_Maggie_20230429_02,4/29/23,1461-1826,1470,4.03,male,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lookit crashed, stopping video at 2mins",,
lookit,11,133200,The_Curious_Maggie_20230429_04,4/29/23,1461-1826,1770,4.85,female,en ur,1,,1,,1,,,1,1,1,,,,,1,,,,1,,,0,,,,0,,,"subject was answering 'yes' and 'no' and skipped without response to most items, so I lost track ",,
lookit,12,133229,The_Curious_Maggie_20230429_05,4/29/23,1461-1826,1770,4.85,female,en,1,1,1,,1,,1,1,0,1,1,0,1,1,,1,,,,,1,1,,1,1,,1,1,subject skipped some,My child thought it was too long. She got bored and we had to end early,
lookit,13,133272,The_Curious_Maggie_20230429_07,4/29/23,1461-1826,1590,4.36,female,en ml,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
lookit,14,133299,The_Curious_Maggie_20230429_08,4/29/23,1461-1826,1740,4.77,female,en it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lookit crashed, no video is available",,
lookit,15,133371,The_Curious_Maggie_20230430_01,4/30/23,1461-1826,1620,4.44,female,en,1,1,1,1,1,,1,1,1,1,,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"participant gave 'yes' in the beginning, hence why there are blanks","my child initially understood the questions as yes/no questions, so i encouraged her to choose one of the two stimuli as her response. i hope i did this in a way that preserved her responses as useable.",
lookit,16,133387,The_Curious_Maggie_20230430_02,4/30/23,1461-1826,1710,4.68,male,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lookit crashed; no video available ,,
lookit,17,133479,The_Curious_Maggie_20230430_04,4/30/23,1461-1826,1770,4.85,female,en,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,0,1,1,1,1,1,1,1,,1,1,"participant said 'if chickens are for laying eggs, then they don't jump.' but never gave response for frog_chicken; also ended early ",,
lookit,18,133489,The_Curious_Maggie_20230430_05,4/30/23,1461-1826,1770,4.85,male,n/a,,0,1,1,1,1,0,,1,1,1,0,,,1,0,,1,1,0,1,0,1,0,0,0,1,0,participant did seem to give wrong answers intentionally and also skip some,The questions were so simple that he was bored with it and intentionally started giving wrong answers because he thought it was funny.,
