participant_number,condition,order,gender,lan_spoken,age_range,age_days,age_exact,chicken,sink,lion,birdfeeder,bee,lamp,skunk,plate
1,purpose,order1,f,en,1826-2191,1860,5.1,0,0,0,0,0,0,0,0
2,purpose,order1,m,en es,1826-2191,2070,5.67,0,0,0,0,0,0,0,0
3,purpose,order1,m,en,1826-2191,2100,5.75,0,0,0,0,0,0,0,0
4,purpose,order1,f,en ml,1826-2191,1860,5.1,0,0,0,0,0,0,0,0
5,purpose,order1,m,,1826-2191,2070,5.67,0,0,1,0,1,0,1,0
6,purpose,order1,m,,1826-2191,2070,5.67,1,1,1,1,1,1,1,1
7,purpose,order1,f,en so ur,1826-2191,1920,5.26,0,0,0,0,0,0,0,0
8,purpose,order1,m,en,1826-2191,2010,5.51,0,0,1,0,0,0,0,1
9,purpose,order1,m,en,1826-2191,1920,5.26,1,1,1,1,0,0,1,0
10,purpose,order1,m,en ta,1826-2191,2070,5.67,1,1,1,1,1,1,1,1
11,purpose,order1,f,en,2191-2556,2340,6.41,0,0,0,0,0,0,0,0
12,purpose,order1,m,en,2191-2556,2190,6,0,0,0,0,0,0,0,0
13,purpose,order1,f,en,2191-2556,2520,6.9,0,1,1,1,1,1,1,1
14,purpose,order1,f,en,2191-2556,2550,6.99,0,0,1,1,1,1,1,1
15,purpose,order1,m,en,2191-2556,2310,6.33,0,0,0,0,0,0,0,0
16,purpose,order1,f,en tr,2191-2556,2280,6.25,0,1,1,1,1,1,1,1
17,purpose,order1,f,en ja,2191-2556,2220,6.08,1,1,1,1,1,1,1,1
18,purpose,order1,m,en,2191-2556,2490,6.82,0,0,1,1,1,1,1,1
19,purpose,order1,f,,2191-2556,2280,6.25,0,0,0,0,0,0,0,0
20,purpose,order1,m,en dl de,2191-2556,2250,6.16,0,0,0,0,0,0,0,0
21,purpose,order1,m,en,2556-2921,2820,7.73,0,0,0,0,0,0,0,0
22,purpose,order1,f,en,2556-2921,2670,7.32,1,0,1,0,0,1,1,1
23,purpose,order1,m,en fr ru,2556-2921,2730,7.48,0,0,1,1,1,1,0,1
24,purpose,order1,m,en hi ru,2556-2921,2610,7.15,1,1,1,1,1,1,1,1
25,purpose,order1,f,en es,2556-2921,2760,7.56,0,0,1,0,0,1,1,1
26,purpose,order1,m,en,2556-2921,2910,7.97,0,1,0,0,0,0,1,1
27,purpose,order1,m,en,2556-2921,2910,7.97,0,0,0,0,0,0,0,0
28,purpose,order1,m,en,2556-2921,2760,7.56,1,1,1,1,1,1,1,1
29,purpose,order1,m,en,2556-2921,2910,7.97,0,0,0,0,0,0,0,1
30,purpose,order1,f,,2556-2921,2850,7.81,1,1,1,1,1,1,1,1
31,purpose,order1,f,en,2922-3287,3120,8.55,1,0,1,1,1,1,1,1
32,purpose,order1,f,en,2922-3287,3060,8.38,0,1,1,1,1,1,1,1
33,purpose,order1,f,en,2922-3287,3270,8.96,0,0,0,0,0,0,0,0
34,purpose,order1,m,en es,2922-3287,3030,8.3,1,0,1,1,1,1,1,1
35,purpose,order1,m,en,2922-3287,2940,8.05,0,1,1,1,1,1,1,1
36,purpose,order1,m,en,2922-3287,3030,8.3,1,0,0,0,0,0,0,0
